X,Y,R,G,B
0,0,255,255,255
0,1,255,255,255
0,2,255,255,255
0,3,255,255,255
0,4,255,255,255
0,5,255,255,255
0,6,255,255,255
0,7,255,255,255
0,8,254,254,254
0,9,254,254,254
0,10,254,254,254
0,11,253,253,253
0,12,253,253,253
0,13,252,252,252
0,14,252,252,252
0,15,252,252,252
0,16,251,253,252
0,17,251,253,252
0,18,250,252,251
0,19,249,251,250
0,20,249,251,250
0,21,248,250,249
0,22,247,248,250
0,23,247,248,250
0,24,245,246,248
0,25,245,246,250
0,26,244,245,249
0,27,243,244,248
0,28,241,242,246
0,29,240,241,246
0,30,239,240,245
0,31,239,240,245
0,32,235,239,242
0,33,235,239,242
0,34,234,237,242
0,35,233,236,241
0,36,231,234,239
0,37,229,234,240
0,38,228,233,239
0,39,228,232,241
0,40,225,232,240
0,41,225,232,242
0,42,224,231,241
0,43,223,229,241
0,44,220,228,239
0,45,219,227,238
0,46,218,226,239
0,47,218,226,239
0,48,214,226,238
0,49,213,226,235
0,50,212,225,234
0,51,210,223,232
0,52,210,220,230
0,53,208,218,227
0,54,207,217,226
0,55,206,217,223
0,56,213,222,229
0,57,201,210,215
0,58,202,211,216
0,59,211,219,222
0,60,208,216,219
0,61,202,210,212
0,62,202,210,212
0,63,203,211,213
0,64,193,211,199
0,65,198,216,204
0,66,199,217,205
0,67,187,203,193
0,68,141,154,145
0,69,67,78,72
0,70,35,46,42
0,71,57,66,65
0,72,41,49,51
0,73,180,190,191
0,74,187,197,199
0,75,215,226,230
0,76,186,200,203
0,77,188,203,208
0,78,199,214,219
0,79,186,201,206
0,80,195,205,214
0,81,195,205,214
0,82,195,205,214
0,83,194,204,213
0,84,194,204,213
0,85,193,203,212
0,86,194,203,212
0,87,194,203,212
0,88,193,202,211
0,89,193,202,211
0,90,193,202,211
0,91,194,201,211
0,92,194,201,211
0,93,194,201,211
0,94,194,201,211
0,95,194,201,211
0,96,194,205,211
0,97,194,205,211
0,98,194,205,211
0,99,193,204,210
0,100,193,204,210
0,101,192,203,209
0,102,192,203,209
0,103,192,203,209
0,104,194,205,211
0,105,194,205,211
0,106,194,205,211
0,107,194,205,211
0,108,194,205,211
0,109,194,205,211
0,110,194,205,211
0,111,194,205,211
0,112,193,204,210
0,113,193,204,210
0,114,193,204,210
0,115,193,204,210
0,116,193,204,210
0,117,193,204,210
0,118,193,204,210
0,119,193,204,210
0,120,193,204,210
0,121,193,204,210
0,122,193,204,210
0,123,193,204,210
0,124,193,204,210
0,125,193,204,210
0,126,193,204,210
0,127,193,204,210
0,128,196,204,207
0,129,196,204,207
0,130,196,204,207
0,131,196,204,207
0,132,196,204,207
0,133,196,204,207
0,134,196,204,207
0,135,196,204,207
0,136,197,205,208
0,137,197,205,208
0,138,197,205,208
0,139,196,204,207
0,140,196,204,207
0,141,195,203,206
0,142,195,203,206
0,143,195,203,206
0,144,197,200,207
0,145,192,195,202
0,146,197,202,208
0,147,192,197,203
0,148,236,241,245
0,149,216,221,225
0,150,187,192,195
0,151,193,197,198
0,152,195,195,193
0,153,190,185,181
0,154,138,127,121
0,155,85,68,60
0,156,71,49,38
0,157,60,33,22
0,158,51,22,8
0,159,61,29,16
0,160,48,18,7
0,161,68,34,22
0,162,76,36,24
0,163,72,24,12
0,164,73,19,7
0,165,80,21,7
0,166,81,22,6
0,167,84,26,6
0,168,80,24,1
0,169,77,25,1
0,170,78,26,2
0,171,79,25,1
0,172,80,22,0
0,173,84,22,1
0,174,90,23,4
0,175,94,26,7
0,176,83,26,0
0,177,85,27,3
0,178,84,24,0
0,179,85,25,1
0,180,89,29,5
0,181,87,25,2
0,182,85,23,2
0,183,89,28,7
0,184,87,26,5
0,185,91,33,13
0,186,87,30,10
0,187,70,18,0
0,188,70,20,0
0,189,92,44,21
0,190,102,56,33
0,191,91,45,22
0,192,88,35,3
0,193,70,19,0
0,194,63,17,0
0,195,70,28,6
0,196,70,32,13
0,197,69,32,14
0,198,71,34,15
0,199,75,34,14
0,200,78,33,10
0,201,82,34,11
0,202,88,41,15
0,203,89,41,18
0,204,78,33,12
0,205,59,20,3
0,206,53,17,5
0,207,54,22,11
0,208,62,15,5
0,209,62,15,5
0,210,63,16,6
0,211,60,16,5
0,212,59,15,2
0,213,57,13,0
0,214,55,11,0
0,215,53,9,0
